kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test_mpipdom_st_rt.1.sm_80.ptx 197 : 32 288 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 30 : 32 192 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 67 : 24 216 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 146 : 8 48 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 142 : 8 56 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 198 : 32 1376 0 0 0 4 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 31 : 32 120 0 0 0 0 0 0 1 
test_mpipdom_st_rt.1.sm_80.ptx 68 : 24 5784 0 0 0 3 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 147 : 8 48 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 143 : 8 48 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 69 : 24 216 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 148 : 8 72 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 156 : 8 48 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 77 : 16 80 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 157 : 8 72 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 158 : 8 344 0 0 0 1 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 159 : 8 72 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 80 : 16 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 160 : 8 56 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 81 : 16 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 161 : 8 48 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 82 : 16 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 162 : 8 72 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 83 : 16 688 0 0 0 2 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 163 : 8 32 0 0 0 1 1 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 84 : 16 144 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 164 : 8 48 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 85 : 16 112 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 165 : 8 48 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 86 : 16 96 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 166 : 8 72 0 0 0 0 0 0 0 
test_mpipdom_st_rt.1.sm_80.ptx 87 : 16 144 0 0 0 0 0 0 0 
